experiment,target,mae,rmse,r2,pearson,spearman
real_only,target_attention,0.10259044170379639,0.23265314216664432,-2.306914806365967,0.10265311598777771,0.3941240527685349
real_only,target_engagement,0.10568146407604218,0.30649312839459414,-5.262508869171143,0.11183016747236252,0.2876887573333716
real_only,target_excitement,0.17944546043872833,0.8790102409725319,-12.500115394592285,0.06427520513534546,0.4614206266868015
real_only,target_stress,0.1256696879863739,0.4137713470311103,-5.4970622062683105,0.05064677819609642,0.26679907104877293
real_only,target_relaxation,0.13195282220840454,0.3005291018128113,-2.328657388687134,0.1603700816631317,0.34539597515459197
real_only,target_interest,0.08420761674642563,0.2488459459447684,-3.937150001525879,0.12105982005596161,0.3258444982960105
real_only,target_focus,0.11408665031194687,0.706356801760038,-28.96493911743164,0.011280697770416737,0.2968767680854572
real_plus_synthetic,target_attention,0.09721653908491135,0.17769681093427347,-0.929142951965332,0.12530958652496338,0.3814685009279653
real_plus_synthetic,target_engagement,0.10554338991641998,0.17100573849669684,-0.9495224952697754,0.2019454389810562,0.27423428709166325
real_plus_synthetic,target_excitement,0.1655668020248413,0.22534941787479493,0.11271631717681885,0.437604159116745,0.4687049869930862
real_plus_synthetic,target_stress,0.11797071993350983,0.18977260198287899,-0.366668701171875,0.22230905294418335,0.2697629345935757
real_plus_synthetic,target_relaxation,0.13354529440402985,0.20765648305806672,-0.5892308950424194,0.17605791985988617,0.27303485785398907
real_plus_synthetic,target_interest,0.08136790245771408,0.1433879571741109,-0.6392323970794678,0.20252461731433868,0.2911726001535389
real_plus_synthetic,target_focus,0.09970588982105255,0.13405135818678768,-0.07921409606933594,0.26585373282432556,0.3068834093973738
